Name,Flavour,Average Ratings,Category,Chemical Type,Energize Score,THC Potency,After Effects,Chemical Compound,Compound Description
original-glue,GG4,4.644708423,Hybrid,THC Dominant,-0.271402609,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
wedding-cake,Wedding Cake,4.569319641,Hybrid,THC Dominant,-0.298495995,more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
blue-dream,Blue Dream,4.323924244,Hybrid,THC Dominant,0.442698344,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
runtz,Runtz,4.57881137,Hybrid,THC Dominant,0.347589475,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
gelato,Gelato,4.637122002,Hybrid,THC Dominant,-0.072373196,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
ice-cream-cake,Ice Cream Cake,4.675324675,Indica,THC Dominant,-0.842219658,slightly more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
purple-punch,Purple Punch,4.573877551,Indica,THC Dominant,-0.8608242,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
gsc,GSC,4.425573046,Hybrid,THC Dominant,0.185510408,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
og-kush,OG Kush,4.266139657,Hybrid,THC Dominant,-0.102284017,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
sour-diesel,Sour Diesel,4.317113039,Sativa,THC Dominant,0.987431977,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
zkittlez,Zkittlez,4.538011696,Indica,THC Dominant,-0.390413066,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
sunset-sherbert,Sherbert,4.56,Hybrid,THC Dominant,-0.130499815,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
granddaddy-purple,Granddaddy Purple,4.394482759,Indica,THC Dominant,-0.827335872,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
mimosa,Mimosa,4.511954993,Hybrid,THC Dominant,0.923040933,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
pineapple-express,Pineapple Express,4.379615185,Hybrid,THC Dominant,0.865142108,comparable,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
jack-herer,Jack Herer,4.354422067,Sativa,THC Dominant,1.161078208,comparable,happy,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
do-si-dos,Do-Si-Dos,4.687737042,Indica,THC Dominant,-0.799820817,slightly more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
green-crack,Green Crack,4.29250457,Sativa,THC Dominant,1.359173909,comparable,energetic,Myrcene,The most common terpene found in cannabis and has an earthy scent.
white-widow,White Widow,4.270263846,Hybrid,THC Dominant,0.601279863,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
gmo-cookies,GMO Cookies,4.700431034,Hybrid,THC Dominant,-0.593823887,much more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
durban-poison,Durban Poison,4.428741446,Sativa,THC Dominant,1.418723972,comparable,energetic,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
northern-lights,Northern Lights,4.407292954,Indica,THC Dominant,-0.636351076,slightly less,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
bubba-kush,Bubba Kush,4.241501626,Indica,THC Dominant,-0.82075226,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
sundae-driver,Sundae Driver,4.606382979,Hybrid,THC Dominant,-0.108252678,slightly more,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
