product_name,category,num_reviews,rating,product_created,price_unit,,,,,
ATF,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 40, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 40}
Blue Dream,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 40, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 40}
Unbiased Opinion,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Blue Sherbert,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Green Crack,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 40, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 40}
Purple Trainwreck,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 40, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 40}
Guerilla Kush,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Jesus OG,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Chaos Kush,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Cookies,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Do-Si-Dos,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Lemon Meringue,flower,0,0,3/8/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 53, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 53}
MTF,flower,0,0,3/5/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 53, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 53}
Tropic Truffle,flower,0,0,1/24/2021,{'unit': 'ounce', 'quantity': '1/8', 'price': 45, 'label': '1/8 oz', 'onSale': False, 'originalPrice': 45}
Cartridge - ATF 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Pink Cookies 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Disposable - Pink Cookies 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Purple Trainwreck 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Origyn SFV OG Wax 1g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Pink Cookies Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Apricot Peach Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
ATF Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Blue Dream Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Blueberry Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Cartridge - Apricot Peach 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Blue Dream 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Double Apple 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Durban Poison 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Grape 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Jack Herer 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Pineapple 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Purple Trainwreck 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Strawberry 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Cartridge - Tiger Blood 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 45, 'label': '1/2 g', 'onSale': False, 'originalPrice': 45}
Disposable - Apricot Peach 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - ATF 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Blueberry 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Double Apple 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Grape 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Jack Herer 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Pineapple 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Strawberry 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Double Apple Distillate Dart 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Durban Poison Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Durban Poison Wax 1g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Grape Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Grape Sundae Wax 1g,concentrates,0,0,2/17/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Green Crack ETOH Shatter 1.0g,concentrates,0,0,2/19/2021,{'unit': 'gram', 'quantity': '1', 'price': 60, 'label': '1 g', 'onSale': False, 'originalPrice': 60}
Indica Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
